activation,alpha,layers,neurons,val_mse_scaled,val_mse_unscaled
tanh,0.0001,7,40,0.3467301017558979,8.707668614446247
tanh,0.0001,10,40,0.36404699463270174,8.426739774193283
relu,0.0001,5,40,0.37063704623439137,8.689478431439383
relu,0.0001,6,20,0.3718881987586786,8.10855387249772
tanh,0.0001,6,20,0.3719811274049494,8.36376084644782
tanh,0.0001,4,40,0.3730573478964113,8.364217044719933
tanh,0.0001,11,20,0.37546942769626024,9.847517657044232
tanh,0.0001,7,20,0.37884507464590156,9.403750227292662
relu,0.0001,4,40,0.3798529477881665,8.340912174628086
relu,0.0001,7,40,0.3799003378157249,8.809744271137072
tanh,0.0001,11,40,0.3814638352451064,8.725265665769722
tanh,0.0001,12,40,0.3815469954459804,10.35730360001423
tanh,0.0001,15,40,0.381796514663822,9.404724110831976
tanh,0.0001,5,40,0.38198405197331864,8.828382880380031
relu,0.0001,9,40,0.3836082741018976,10.458050426760458
relu,0.0001,2,40,0.3836758989664725,8.261786538030051
tanh,0.0001,9,20,0.3850872833749419,9.690727087531814
tanh,0.0001,12,20,0.38724933446592646,9.133780991467622
tanh,0.0001,4,20,0.3877532606101195,9.344898276818252
relu,0.0001,8,40,0.3886604623810652,8.491714952075895
tanh,0.0001,13,40,0.3894812152612145,10.02795102193809
tanh,0.0001,9,40,0.38977057695378703,9.502924938183378
tanh,0.0001,14,40,0.39369020033497737,10.20029009317044
tanh,0.0001,5,20,0.39397644487081396,10.192524096616285
relu,0.0001,7,20,0.39472033674451623,9.152369515520144
relu,0.0001,6,40,0.403314574253385,8.782646488383039
tanh,0.0001,6,40,0.40338268124703297,8.415264063185857
tanh,0.0001,8,40,0.40515513516943846,9.534671150029428
tanh,0.0001,8,20,0.4072730469231193,10.561231231290186
tanh,0.0001,3,20,0.4075441088408759,9.439133382227553
tanh,0.0001,13,20,0.40825674167393833,10.577622484474427
relu,0.0001,3,40,0.4087927071851353,9.09817787530071
tanh,0.0001,10,20,0.4111914999484841,10.156673303094431
relu,0.0001,10,40,0.4133914073783207,11.639790521490692
tanh,0.0001,19,20,0.41356114444760356,14.16641889940498
relu,0.0001,4,20,0.41464652965372695,9.290389517749828
tanh,0.0001,3,40,0.4171481339454004,9.651562093436686
tanh,0.0001,17,40,0.4177897866901956,12.690338983852175
tanh,0.0001,14,20,0.4202437411997066,11.27606116248192
relu,0.0001,13,40,0.4205730328316699,13.83366140498298
relu,0.0001,5,20,0.4238594973255568,9.720615168745509
tanh,0.0001,20,20,0.42456953171288414,15.259057374309943
relu,0.0001,8,20,0.4261148623505691,8.810741805366966
tanh,0.0001,16,20,0.42735297909373543,15.450025008706834
relu,0.0001,13,20,0.43067219952578606,12.399512905447512
tanh,0.0001,18,40,0.4313171175461178,12.022555139189592
relu,0.0001,11,40,0.43206012345189226,12.145394818854172
relu,0.0001,1,40,0.4329146657051467,8.766020952697495
relu,0.0001,3,20,0.4352218919143716,9.351586703213986
relu,0.0001,11,20,0.43685387199489,12.003078437162518
tanh,0.0001,20,40,0.43777133173629545,14.094447921828454
