Architecture,Layers,Parameters,MSE,MAE,RMSE,Mean R²
Two_Layer_256_128,"[256, 128]",35079,2.517209108174959,1.0100190474954478,1.5865714948198708,0.7916043528723379
Wide_Two_Layer_512_256,"[512, 256]",135687,2.5712017328034102,1.0464805895936318,1.6034967205465094,0.7927112000316124
Two_Layer_128_64,"[128, 64]",9351,2.6235067230661477,1.0544329780974022,1.6197242737781476,0.7847640395709838
Three_Layer_256_128_64,"[256, 128, 64]",42887,2.6973787713919184,1.0950503826779607,1.642369864370361,0.7953350844385909
Three_Layer_128_64_32,"[128, 64, 32]",11207,2.7216523301643387,1.0726745813455953,1.6497431103551663,0.7896903507530754
Wide_Three_Layer_512_256_128,"[512, 256, 128]",167687,2.737611457496923,1.1005427130252048,1.6545728927723078,0.7884818111159808
Two_Layer_64_32,"[64, 32]",2631,2.7836585605761406,1.0929453235723208,1.6684299687359192,0.7774310223167692
Single_Layer_128,[128],1543,2.813835397813429,1.060887996388352,1.6774490745812312,0.7600535706503738
Three_Layer_512_256_128,"[512, 256, 128]",167687,2.865206911681209,1.1149333737699638,1.6926922081941562,0.7846292053953137
Four_Layer_512_256_128_64,"[512, 256, 128, 64]",175495,2.977069528821444,1.1749066078741357,1.725418653203171,0.7859527911388797
Single_Layer_64,[64],775,2.992092622886532,1.105906122146473,1.7297666382742303,0.7539499811411762
Five_Layer_512_256_128_64_32,"[512, 256, 128, 64, 32]",177351,3.0292591133183424,1.1669167657251072,1.7404766914033472,0.7865629628808264
Three_Layer_64_32_16,"[64, 32, 16]",3047,3.0833043880480617,1.2013930400752588,1.755934050028093,0.7754743076443525
Five_Layer_256_128_64_32_16,"[256, 128, 64, 32, 16]",45159,3.1744745995543404,1.1779873521403184,1.7817055311005634,0.7775826918921417
Two_Layer_32_16,"[32, 16]",807,3.2045598726087694,1.2107576113934193,1.790128451427095,0.7607438356652448
Four_Layer_128_64_32_16,"[128, 64, 32, 16]",11623,3.301492664788939,1.2081008517141272,1.8170010084721855,0.7775218434251998
Single_Layer_32,[32],391,3.4056558106184736,1.2188358111407265,1.845441901176646,0.7377078016103796
Four_Layer_256_128_64_32,"[256, 128, 64, 32]",44743,3.4317669210100195,1.2693670264916377,1.8525028801624086,0.785973074643515
