Architecture,Layers,Neurons,Activation,Validation_Loss
"2 layers, 10 neurons",2,10,ELU,0.300969660282135
"2 layers, 10 neurons",2,10,LEAKY_RELU,0.2894771695137024
"2 layers, 10 neurons",2,10,RELU,0.2699139714241028
"2 layers, 10 neurons",2,10,TANH,0.29817572236061096
"2 layers, 15 neurons",2,15,ELU,0.2957771420478821
"2 layers, 15 neurons",2,15,LEAKY_RELU,0.2818130552768707
"2 layers, 15 neurons",2,15,RELU,0.2598724663257599
"2 layers, 15 neurons",2,15,TANH,0.2746710181236267
"2 layers, 20 neurons",2,20,ELU,0.2977595031261444
"2 layers, 20 neurons",2,20,LEAKY_RELU,0.2688044309616089
"2 layers, 20 neurons",2,20,RELU,0.2566812038421631
"2 layers, 20 neurons",2,20,TANH,0.2690059542655945
"3 layers, 10 neurons",3,10,ELU,0.29778897762298584
"3 layers, 10 neurons",3,10,LEAKY_RELU,0.2844477891921997
"3 layers, 10 neurons",3,10,RELU,0.2683308720588684
"3 layers, 10 neurons",3,10,TANH,0.2677018642425537
"3 layers, 15 neurons",3,15,ELU,0.2606508135795593
"3 layers, 15 neurons",3,15,LEAKY_RELU,0.24555617570877075
"3 layers, 15 neurons",3,15,RELU,0.24718354642391205
"3 layers, 15 neurons",3,15,TANH,0.26622962951660156
"3 layers, 20 neurons",3,20,ELU,0.26495814323425293
"3 layers, 20 neurons",3,20,LEAKY_RELU,0.2466902732849121
"3 layers, 20 neurons",3,20,RELU,0.23292560875415802
"3 layers, 20 neurons",3,20,TANH,0.2556981146335602
"4 layers, 10 neurons",4,10,ELU,0.2698182761669159
"4 layers, 10 neurons",4,10,LEAKY_RELU,0.2667367458343506
"4 layers, 10 neurons",4,10,RELU,0.2508823871612549
"4 layers, 10 neurons",4,10,TANH,0.2749776542186737
"4 layers, 15 neurons",4,15,ELU,0.24853520095348358
"4 layers, 15 neurons",4,15,LEAKY_RELU,0.24615757167339325
"4 layers, 15 neurons",4,15,RELU,0.2525261640548706
"4 layers, 15 neurons",4,15,TANH,0.24218322336673737
"4 layers, 20 neurons",4,20,ELU,0.24000228941440582
"4 layers, 20 neurons",4,20,LEAKY_RELU,0.23251792788505554
"4 layers, 20 neurons",4,20,RELU,0.23488132655620575
"4 layers, 20 neurons",4,20,TANH,0.2311849594116211
