Architecture,Layers,Neurons,Activation,Validation_Loss
"10 layers, 30 neurons",10,30,ELU,0.20427387952804565
"10 layers, 30 neurons",10,30,LEAKY_RELU,0.2116832286119461
"10 layers, 30 neurons",10,30,RELU,0.2283676713705063
"10 layers, 30 neurons",10,30,TANH,0.20592592656612396
"10 layers, 40 neurons",10,40,ELU,0.21069124341011047
"10 layers, 40 neurons",10,40,LEAKY_RELU,0.21119773387908936
"10 layers, 40 neurons",10,40,RELU,0.21534714102745056
"10 layers, 40 neurons",10,40,TANH,0.21270601451396942
"10 layers, 50 neurons",10,50,ELU,0.194864884018898
"10 layers, 50 neurons",10,50,LEAKY_RELU,0.2080419957637787
"10 layers, 50 neurons",10,50,RELU,0.2199711799621582
"10 layers, 50 neurons",10,50,TANH,0.19892935454845428
"10 layers, 60 neurons",10,60,ELU,0.19672538340091705
"10 layers, 60 neurons",10,60,LEAKY_RELU,0.21173131465911865
"10 layers, 60 neurons",10,60,RELU,0.20787975192070007
"10 layers, 60 neurons",10,60,TANH,0.20268262922763824
"10 layers, 70 neurons",10,70,ELU,0.1992846429347992
"10 layers, 70 neurons",10,70,LEAKY_RELU,0.20192590355873108
"10 layers, 70 neurons",10,70,RELU,0.2276943027973175
"10 layers, 70 neurons",10,70,TANH,0.20465919375419617
"15 layers, 30 neurons",15,30,ELU,0.1995665729045868
"15 layers, 30 neurons",15,30,LEAKY_RELU,0.2132112681865692
"15 layers, 30 neurons",15,30,RELU,0.23605801165103912
"15 layers, 30 neurons",15,30,TANH,0.21190175414085388
"15 layers, 40 neurons",15,40,ELU,0.2059381604194641
"15 layers, 40 neurons",15,40,LEAKY_RELU,0.2206307202577591
"15 layers, 40 neurons",15,40,RELU,0.22808410227298737
"15 layers, 40 neurons",15,40,TANH,0.210383340716362
"15 layers, 50 neurons",15,50,ELU,0.19049589335918427
"15 layers, 50 neurons",15,50,LEAKY_RELU,0.22114336490631104
"15 layers, 50 neurons",15,50,RELU,0.22705821692943573
"15 layers, 50 neurons",15,50,TANH,0.21064327657222748
"15 layers, 60 neurons",15,60,ELU,0.19523252546787262
"15 layers, 60 neurons",15,60,LEAKY_RELU,0.21367911994457245
"15 layers, 60 neurons",15,60,RELU,0.22438360750675201
"15 layers, 60 neurons",15,60,TANH,0.20479537546634674
"15 layers, 70 neurons",15,70,ELU,0.19567790627479553
"15 layers, 70 neurons",15,70,LEAKY_RELU,0.2229737788438797
"15 layers, 70 neurons",15,70,RELU,0.23204903304576874
"15 layers, 70 neurons",15,70,TANH,0.20055612921714783
"20 layers, 30 neurons",20,30,ELU,0.2080020010471344
"20 layers, 30 neurons",20,30,LEAKY_RELU,0.23397359251976013
"20 layers, 30 neurons",20,30,RELU,0.22040040791034698
"20 layers, 30 neurons",20,30,TANH,0.21487340331077576
"20 layers, 40 neurons",20,40,ELU,0.18708297610282898
"20 layers, 40 neurons",20,40,LEAKY_RELU,0.2258482128381729
"20 layers, 40 neurons",20,40,RELU,0.23564155399799347
"20 layers, 40 neurons",20,40,TANH,0.21034660935401917
"20 layers, 50 neurons",20,50,ELU,0.19482088088989258
"20 layers, 50 neurons",20,50,LEAKY_RELU,0.23192764818668365
"20 layers, 50 neurons",20,50,RELU,0.2211030125617981
"20 layers, 50 neurons",20,50,TANH,0.2023002654314041
"20 layers, 60 neurons",20,60,ELU,0.19617986679077148
"20 layers, 60 neurons",20,60,LEAKY_RELU,0.22890228033065796
"20 layers, 60 neurons",20,60,RELU,0.2337677776813507
"20 layers, 60 neurons",20,60,TANH,0.20970922708511353
