activation,alpha,layers,neurons,val_mse
relu,1e-05,8,20,0.2266740639897616
tanh,0.0001,8,60,0.22682024420423544
tanh,1e-05,8,60,0.22682252664674177
relu,1e-05,15,40,0.22777283385857477
tanh,1e-05,4,40,0.22798312016892
tanh,0.0001,4,40,0.2279844534672661
relu,1e-05,6,60,0.22881505170965635
tanh,1e-05,3,40,0.2296465746107394
tanh,0.0001,3,40,0.22964807634099724
tanh,1e-05,6,60,0.2311627193602523
tanh,0.0001,6,60,0.2311665419218146
relu,0.0001,8,20,0.23145248296889478
relu,0.0001,6,60,0.23255399310977448
tanh,1e-05,8,20,0.2353896189755933
tanh,0.0001,8,20,0.23539140584989443
relu,1e-05,8,60,0.23564534573445206
relu,1e-05,3,40,0.2369959607215145
relu,1e-05,13,20,0.23706538163600083
relu,1e-05,7,60,0.23783182738133654
tanh,1e-05,5,40,0.23936268724600568
tanh,0.0001,5,40,0.2393656966382114
tanh,0.0001,14,40,0.23959266126700998
tanh,1e-05,14,40,0.23959577564540083
relu,0.0001,3,40,0.23973839923700765
relu,0.0001,7,40,0.2400453389429962
tanh,1e-05,7,40,0.2400775593982775
tanh,0.0001,7,40,0.2400814389544699
tanh,1e-05,16,60,0.24008831119734717
tanh,0.0001,16,60,0.24009188395164544
relu,1e-05,5,40,0.24048927837325906
tanh,1e-05,9,60,0.24072729029014212
tanh,0.0001,9,60,0.24072899288920244
relu,0.0001,8,60,0.2413871459333534
tanh,1e-05,15,60,0.24239798118086137
tanh,0.0001,15,60,0.24240606382092827
tanh,1e-05,16,20,0.24242257653106575
tanh,0.0001,16,20,0.24243570072472284
tanh,0.0001,7,60,0.24306006353410906
tanh,1e-05,7,60,0.24306040804878642
tanh,1e-05,9,20,0.2432268283096794
tanh,0.0001,9,20,0.24323264494514535
tanh,1e-05,12,40,0.24334612672415953
tanh,0.0001,12,40,0.2433483977331436
relu,1e-05,8,40,0.24358198353005092
tanh,1e-05,10,40,0.24358401326214132
tanh,0.0001,10,40,0.24358420290256425
tanh,1e-05,10,60,0.24375761078863653
tanh,0.0001,10,60,0.24375899334752635
tanh,0.0001,11,60,0.24378948373370182
tanh,1e-05,11,60,0.24379273107167695
relu,0.0001,5,40,0.24388114444954404
tanh,1e-05,17,20,0.24403095256364912
tanh,0.0001,17,20,0.24404248773695728
relu,0.0001,6,40,0.24410741436594813
tanh,1e-05,12,20,0.24427139248751537
tanh,0.0001,12,20,0.2442785438614953
tanh,0.0001,21,60,0.24433711042204717
tanh,1e-05,21,60,0.24437467001451893
tanh,1e-05,18,40,0.24455808316010216
tanh,0.0001,18,40,0.24455824596165465
relu,0.0001,4,40,0.2448115295034192
tanh,1e-05,11,20,0.2450770362684371
tanh,0.0001,11,20,0.24508367608191559
relu,1e-05,7,40,0.24580734321671455
relu,1e-05,4,40,0.24594353772447097
tanh,1e-05,10,20,0.24618034274482098
tanh,0.0001,10,20,0.24618651384166254
tanh,1e-05,12,60,0.246583609968813
tanh,0.0001,12,60,0.24658527666769922
relu,1e-05,12,60,0.24686810586281957
tanh,1e-05,26,60,0.2470785504051257
relu,1e-05,10,20,0.24723472380414638
tanh,1e-05,17,40,0.2473482268523791
tanh,0.0001,17,40,0.24735484373996158
relu,1e-05,10,40,0.2473809191653563
relu,1e-05,10,60,0.24748875579467794
relu,0.0001,10,60,0.24757741495998567
tanh,1e-05,15,20,0.24758159088195633
tanh,0.0001,15,20,0.24758816041475296
tanh,1e-05,6,40,0.24762725461585375
tanh,0.0001,6,40,0.24763342095613092
tanh,1e-05,8,40,0.24853859506892156
tanh,0.0001,8,40,0.24854158965460924
tanh,1e-05,16,40,0.24884648228972747
tanh,0.0001,16,40,0.24885262768718444
relu,0.0001,15,40,0.24890057061636933
tanh,1e-05,23,60,0.24895610225928816
tanh,0.0001,23,60,0.24896127827309375
relu,1e-05,6,40,0.2493663511349379
relu,0.0001,4,60,0.2497626827654689
relu,1e-05,4,60,0.2500555832212723
relu,1e-05,16,60,0.2507706689749832
tanh,1e-05,4,20,0.25097571358376736
tanh,0.0001,4,20,0.25097865649919815
relu,1e-05,9,60,0.25104530103481426
tanh,1e-05,15,40,0.25181892619608914
tanh,0.0001,15,40,0.2518206987056623
relu,0.0001,16,60,0.2518461630496665
tanh,1e-05,2,40,0.2519499887253386
tanh,0.0001,2,40,0.2519519228455757
relu,0.0001,9,60,0.2528196816072664
relu,0.0001,5,60,0.2528728370475315
relu,0.0001,8,40,0.2530197438360732
relu,1e-05,13,60,0.2531074858102879
tanh,1e-05,18,60,0.2531410951020863
tanh,0.0001,18,60,0.25314560522957497
relu,0.0001,10,40,0.25318574636181357
relu,0.0001,7,60,0.2532156107707666
relu,1e-05,12,40,0.25383161528738246
tanh,1e-05,3,60,0.25409368208562144
tanh,0.0001,3,60,0.25409746208536216
relu,0.0001,12,60,0.2541280920170622
tanh,1e-05,13,20,0.2544892338820094
tanh,0.0001,13,20,0.2544930675035019
relu,0.0001,11,40,0.25450549388585725
relu,0.0001,17,40,0.2545459295396237
relu,1e-05,5,60,0.25459998561621255
relu,0.0001,19,60,0.25483264436567016
tanh,0.0001,18,20,0.25498810858079535
tanh,1e-05,18,20,0.25499512133441793
relu,0.0001,18,60,0.2554798044716056
tanh,0.0001,25,60,0.25561704625089315
tanh,1e-05,25,60,0.2558504421850133
relu,0.0001,22,60,0.2561881049445083
relu,1e-05,27,60,0.2565617407489921
relu,0.0001,4,20,0.2566717028290882
relu,0.0001,11,60,0.2568722523385932
relu,0.0001,15,60,0.2573721961760817
relu,0.0001,13,40,0.2576211946663684
relu,1e-05,4,20,0.2578232176335673
tanh,1e-05,13,60,0.25824599168773305
tanh,0.0001,13,60,0.25825213796660684
relu,0.0001,12,40,0.2583740509852125
relu,1e-05,9,20,0.2583903881244533
relu,1e-05,7,20,0.2584087836808661
relu,1e-05,5,20,0.2588155358365172
relu,1e-05,2,40,0.25892421031079765
relu,0.0001,13,60,0.25919413813719344
relu,0.0001,9,20,0.2593457589240461
relu,1e-05,21,40,0.2593695733010995
tanh,1e-05,14,20,0.2594551667844671
tanh,0.0001,14,20,0.2594591188052118
relu,1e-05,11,60,0.2596246681107442
tanh,1e-05,4,60,0.2597259920802307
tanh,0.0001,4,60,0.25972883966035953
tanh,0.0001,26,60,0.25973395277792
relu,0.0001,5,20,0.2599537462275795
tanh,1e-05,20,40,0.2601026083797575
tanh,0.0001,20,40,0.2601089045825533
tanh,0.0001,27,60,0.2601551629754505
logistic,1e-05,3,60,0.26021833839667047
logistic,0.0001,3,60,0.26028795134648486
relu,1e-05,21,60,0.2618771510438563
tanh,1e-05,11,40,0.26219715609761496
tanh,0.0001,11,40,0.2622004192632334
relu,1e-05,17,60,0.2622855766516716
relu,1e-05,2,60,0.26232969761081765
relu,0.0001,2,60,0.2625001894435529
relu,0.0001,2,20,0.26295211802541024
tanh,1e-05,2,20,0.2630731390485055
tanh,0.0001,2,20,0.2630739188053443
relu,1e-05,2,20,0.2631621329971466
relu,0.0001,3,20,0.2631813576678451
relu,1e-05,3,20,0.26323036033072367
tanh,1e-05,9,40,0.26323730229254844
tanh,0.0001,9,40,0.26324186136305766
relu,1e-05,3,60,0.26411410050134704
relu,0.0001,3,60,0.2641463871684525
tanh,1e-05,19,60,0.26456087990055466
tanh,0.0001,19,60,0.26456918344344926
relu,1e-05,18,20,0.2647601474716478
relu,0.0001,2,40,0.2649130848622436
relu,1e-05,9,40,0.2649852319455655
relu,0.0001,7,20,0.2653312338537608
relu,1e-05,14,60,0.2658794195961653
tanh,1e-05,27,60,0.2659467834141847
relu,1e-05,18,60,0.2665310099906019
relu,0.0001,10,20,0.2666943928979816
relu,1e-05,14,40,0.26697120488366216
tanh,0.0001,20,60,0.26943710095238804
tanh,1e-05,20,60,0.26946310559283615
tanh,1e-05,19,20,0.26982306324021077
tanh,0.0001,19,20,0.26983246760925306
relu,1e-05,26,60,0.2713073596456407
relu,1e-05,11,40,0.27154605309415775
tanh,1e-05,3,20,0.27177819554448696
tanh,0.0001,3,20,0.27178070683938976
relu,0.0001,15,20,0.27199052313658617
tanh,1e-05,14,60,0.2724938174792667
tanh,0.0001,14,60,0.27249589964054327
relu,0.0001,20,60,0.27336675822900836
logistic,1e-05,3,40,0.2734683887912645
logistic,0.0001,3,40,0.27353718872221383
relu,1e-05,14,20,0.27383295559875426
relu,0.0001,21,40,0.27416032430665643
relu,0.0001,13,20,0.27483020785545714
tanh,1e-05,5,60,0.27489820559162964
tanh,0.0001,5,60,0.274900599893774
tanh,1e-05,7,20,0.27506310510049675
tanh,0.0001,7,20,0.27506686211868453
relu,0.0001,9,40,0.275253941637388
relu,1e-05,13,40,0.2753224894396588
relu,0.0001,1,60,0.27565734555808247
relu,1e-05,1,60,0.27576506482670793
relu,1e-05,12,20,0.2758558070147889
tanh,1e-05,25,40,0.27591685474921984
tanh,0.0001,25,40,0.27593634065437667
tanh,1e-05,19,40,0.2770570989275604
tanh,0.0001,19,40,0.2770574509067566
relu,1e-05,19,20,0.27749305476135305
relu,1e-05,6,20,0.27780380089158135
tanh,1e-05,5,20,0.27782627558440487
tanh,0.0001,5,20,0.27782767083283766
logistic,1e-05,2,40,0.27795154289877116
logistic,0.0001,2,40,0.27798264272662304
relu,1e-05,15,60,0.2781602780458009
tanh,0.0001,24,60,0.2782903586263041
tanh,1e-05,24,60,0.27830161854549046
relu,1e-05,20,60,0.2788650249674357
relu,1e-05,16,40,0.2789927839202609
relu,1e-05,19,40,0.2791491317182481
relu,0.0001,18,20,0.27946947567675384
relu,0.0001,6,20,0.27991077894908517
relu,0.0001,17,20,0.28019652654311694
tanh,0.0001,17,60,0.28054934353015226
tanh,1e-05,17,60,0.2805496110492414
relu,1e-05,19,60,0.28068646504895095
tanh,0.0001,28,60,0.2813947057492751
tanh,1e-05,28,60,0.28144635100389803
relu,0.0001,16,40,0.2823625908570457
relu,0.0001,17,60,0.2829103738468523
tanh,0.0001,30,60,0.28320171885109763
relu,0.0001,1,20,0.28328263070757215
relu,1e-05,1,20,0.2833097997437639
tanh,1e-05,21,40,0.28351299763219406
tanh,0.0001,21,40,0.28351480472183316
relu,1e-05,17,40,0.2846586250748194
relu,1e-05,15,20,0.28470515966214743
tanh,1e-05,22,20,0.28474075800104903
tanh,0.0001,22,20,0.2847430461451231
tanh,1e-05,30,60,0.28514107455399984
relu,0.0001,12,20,0.28625816869938203
relu,1e-05,20,40,0.2875461059120085
tanh,1e-05,27,40,0.28760715758455996
tanh,0.0001,27,40,0.28771606008886813
relu,1e-05,25,20,0.2877218626663604
relu,0.0001,14,20,0.2879891981162683
relu,0.0001,1,40,0.2884221951811349
relu,1e-05,1,40,0.2884477236874422
relu,0.0001,18,40,0.28858560661792804
relu,0.0001,14,40,0.2893304508362052
tanh,1e-05,22,40,0.2896469907012419
tanh,0.0001,22,40,0.28964947413864295
relu,0.0001,30,60,0.29003581438375864
relu,0.0001,29,40,0.29060468371753484
tanh,1e-05,2,60,0.2909292094611935
tanh,0.0001,2,60,0.29093076026305115
relu,0.0001,26,20,0.29094642791969166
relu,1e-05,22,60,0.2913008775288244
tanh,1e-05,22,60,0.2915392020958998
tanh,0.0001,22,60,0.29154306256975265
logistic,1e-05,8,60,0.2916174268713962
relu,0.0001,23,20,0.29173417123656964
relu,1e-05,24,60,0.2918385237164238
tanh,1e-05,1,20,0.2920900697774625
tanh,0.0001,1,20,0.2920910551844697
relu,1e-05,18,40,0.2926885815672861
relu,1e-05,30,20,0.292768676052081
tanh,1e-05,1,60,0.2928904216578895
tanh,0.0001,1,60,0.2928917910909662
relu,1e-05,25,60,0.29291214427903833
logistic,1e-05,6,60,0.2929306533144634
relu,0.0001,20,40,0.2930878277007907
logistic,0.0001,7,60,0.2936192830210951
relu,0.0001,24,20,0.29381787385393204
tanh,1e-05,6,20,0.29394089003618223
tanh,0.0001,6,20,0.29394270775052267
relu,1e-05,22,40,0.29445203439030765
relu,0.0001,25,20,0.2944942707542171
tanh,1e-05,25,20,0.2948715372228273
tanh,0.0001,25,20,0.29487416709164666
relu,1e-05,28,20,0.294976107526919
logistic,1e-05,7,60,0.2950757654983097
relu,1e-05,30,40,0.2953683668488211
relu,1e-05,30,60,0.2954262160051307
relu,1e-05,17,20,0.29558132311996116
tanh,1e-05,26,20,0.29559203783639143
tanh,1e-05,20,20,0.2956334226294625
tanh,0.0001,20,20,0.2956348125476723
relu,0.0001,25,60,0.2956427871203619
logistic,1e-05,7,40,0.295788455643103
logistic,1e-05,4,40,0.2957959147701974
logistic,0.0001,4,40,0.29582071981918495
tanh,0.0001,26,20,0.29596618067911773
logistic,1e-05,2,20,0.29603756964712746
logistic,0.0001,2,20,0.2960553425286362
logistic,0.0001,6,60,0.29607534972024413
relu,1e-05,26,20,0.29607579119577715
relu,0.0001,25,40,0.29617625867986686
relu,0.0001,23,60,0.29622089506585053
tanh,1e-05,30,20,0.29641354476327464
relu,1e-05,25,40,0.29667795852177326
relu,1e-05,24,20,0.29724986392051134
relu,0.0001,28,40,0.2972770421085934
tanh,1e-05,13,40,0.29728164322544576
tanh,0.0001,13,40,0.2972844161795876
relu,0.0001,24,40,0.2973713846605552
relu,0.0001,22,40,0.2979543338764664
tanh,1e-05,29,20,0.29803195802884996
tanh,0.0001,29,20,0.29811434351029
relu,1e-05,11,20,0.2982259868455501
relu,1e-05,23,20,0.2982518461397654
logistic,1e-05,5,40,0.298561076888686
relu,0.0001,29,20,0.2985657602407349
logistic,0.0001,5,40,0.29869693070279907
relu,1e-05,23,60,0.29892885028479593
tanh,1e-05,1,40,0.2992280476074877
tanh,0.0001,1,40,0.29922929994403524
relu,0.0001,21,60,0.29938330241300226
relu,0.0001,20,20,0.29940603310049346
tanh,1e-05,21,20,0.29968432141369955
tanh,0.0001,21,20,0.2996859260645448
relu,1e-05,16,20,0.29976494048535207
relu,0.0001,22,20,0.29980397800767633
logistic,1e-05,6,40,0.2999512390461557
relu,0.0001,28,20,0.2999561089369212
relu,0.0001,27,60,0.30015596948148504
relu,0.0001,23,40,0.3002071384465142
logistic,0.0001,6,40,0.30043928394077785
relu,0.0001,28,60,0.30060037244479265
tanh,1e-05,23,40,0.30074524905882877
tanh,0.0001,23,40,0.30074773513574193
relu,1e-05,27,20,0.3008311904086898
relu,0.0001,14,60,0.3008905190434002
tanh,0.0001,24,20,0.3009625933852019
tanh,1e-05,24,20,0.30098524395146276
relu,0.0001,19,20,0.30121974124450723
relu,1e-05,28,60,0.3015609856634948
logistic,1e-05,3,20,0.3017535910761141
logistic,0.0001,3,20,0.3017701663231665
tanh,0.0001,24,40,0.30197963656650645
tanh,1e-05,24,40,0.3019852181663141
relu,1e-05,22,20,0.30248616823454993
tanh,1e-05,23,20,0.30258083933507524
tanh,0.0001,23,20,0.30258327316845934
relu,1e-05,21,20,0.30266456884243303
logistic,1e-05,4,60,0.3027971898721543
logistic,0.0001,4,60,0.30282793517789797
relu,1e-05,20,20,0.30290371780477926
relu,0.0001,26,60,0.3029756927641299
relu,1e-05,24,40,0.30302119109962095
relu,0.0001,11,20,0.3030452913857123
relu,1e-05,28,40,0.3042060611258123
relu,1e-05,27,40,0.30441163881226746
relu,0.0001,29,60,0.304561944258488
relu,1e-05,29,20,0.3047006476989839
relu,0.0001,24,60,0.3049131509177013
relu,0.0001,30,40,0.3050240502117133
tanh,0.0001,28,40,0.3053581170864272
tanh,0.0001,30,20,0.3053811932988286
logistic,1e-05,4,20,0.30590700051180286
logistic,0.0001,4,20,0.3059473036993737
