activation,alpha,layers,neurons,val_mse_scaled,val_mse_unscaled
relu,0.0001,3,80,0.2341983535881369,3.2380695859217483
relu,0.0001,4,80,0.23893469516629803,3.3541570355354127
tanh,0.0001,6,60,0.23974098865163812,3.9233844544931062
relu,0.0001,8,80,0.24321904692758983,3.665046587679796
relu,0.0001,7,80,0.24475927548292284,3.4447810928774873
tanh,0.0001,7,40,0.24665704081609235,4.249274746982243
tanh,0.0001,3,80,0.2476655283670807,3.3811824021767154
relu,0.0001,7,40,0.24794931396968398,3.882109598555288
relu,0.0001,3,40,0.24970701616678517,3.7798082446534815
tanh,0.0001,5,40,0.2501340565610453,3.4823457027801177
relu,0.0001,8,60,0.2508060170799133,4.019615933450202
tanh,0.0001,4,40,0.2509919269390766,3.515438784786763
relu,0.0001,4,40,0.2513777441021296,3.8369326019390937
relu,0.0001,9,80,0.2517659087167647,4.113318408668517
relu,0.0001,11,80,0.25188677076590016,4.359318571368125
tanh,0.0001,8,60,0.253337795267941,3.9130458628838167
relu,0.0001,11,60,0.2545387639257897,4.2157299244010495
relu,0.0001,8,40,0.2546784693743232,4.045602278774156
relu,0.0001,2,60,0.2553741148387778,3.478202606131553
relu,0.0001,5,40,0.2560459500524695,4.056597403424434
relu,0.0001,4,60,0.2565422740045314,3.972921673340672
tanh,0.0001,10,40,0.25659886491195355,3.8336935206127594
relu,0.0001,6,60,0.25659915960033947,3.982380435131688
tanh,0.0001,7,60,0.2568712803332729,3.658296370353429
relu,0.0001,10,60,0.25767843588310485,3.897861823600489
tanh,0.0001,8,40,0.25782758910474873,3.7284657090482374
tanh,0.0001,11,40,0.25826317350197786,3.9741574076137565
relu,0.0001,2,40,0.25875747348336425,3.555729767542742
tanh,0.0001,4,80,0.25892538573567403,3.6597974163140514
tanh,0.0001,9,80,0.25907954864878213,4.023498539043361
relu,0.0001,6,40,0.2610992956459434,3.9392047313446494
relu,0.0001,7,20,0.26136544123837957,4.346146347370334
tanh,0.0001,21,40,0.2613751182634646,3.865330042747378
tanh,0.0001,13,60,0.2613988261318782,4.477892436675132
relu,0.0001,4,20,0.2615978911792846,3.871063994362182
relu,0.0001,12,80,0.26193182956373534,4.247229315690244
tanh,0.0001,6,40,0.2620365731945005,4.220429001984832
tanh,0.0001,8,20,0.26233886682335494,3.933161006184808
relu,0.0001,3,10,0.26234216748442435,4.410622116056544
tanh,0.0001,2,20,0.26250300458467646,3.4234121864881866
relu,0.0001,5,80,0.2627871402577851,3.9982468770745996
relu,0.0001,11,40,0.2630617158351035,4.738536958325615
tanh,0.0001,11,80,0.26314904769132746,4.790507756195538
relu,0.0001,3,20,0.26327174217695076,3.8627357563897777
tanh,0.0001,12,40,0.2635092390274317,4.430611562154582
tanh,0.0001,3,20,0.26409763310912365,3.525917380785329
relu,0.0001,7,60,0.26468633987838136,4.280092631764634
tanh,0.0001,2,40,0.26474549385764273,3.35474366429088
tanh,0.0001,10,60,0.26509301294855736,3.6267758995842456
tanh,0.0001,4,20,0.2652700475630523,3.7678644309942606
tanh,0.0001,14,20,0.26547372260995605,4.24469049936402
relu,0.0001,6,80,0.26632826139365817,3.802842971962772
relu,0.0001,9,20,0.2665313342706955,4.369770520674618
tanh,0.0001,5,10,0.26731758895380764,3.771047499793208
relu,0.0001,8,20,0.2684009270103867,5.323668291548775
relu,0.0001,12,40,0.2688531372192225,4.351445430559807
relu,0.0001,4,10,0.2692380928274628,4.936194635293376
relu,0.0001,5,10,0.2693901722083547,4.213221474812384
tanh,0.0001,11,60,0.26959283004303497,4.892316171686345
tanh,0.0001,9,40,0.27003491083724207,4.1800033124461615
tanh,0.0001,15,40,0.2702491836507234,4.125770876200772
relu,0.0001,13,40,0.27066791092511194,5.360019668572036
tanh,0.0001,9,10,0.2709390744329226,3.6945468065530256
tanh,0.0001,12,20,0.2715073733630606,4.298177864540715
tanh,0.0001,5,80,0.2721082546834205,3.7412765247046242
tanh,0.0001,19,60,0.27252460016444363,3.8684740136431053
relu,0.0001,15,20,0.27255974422488244,4.716103387211638
relu,0.0001,2,20,0.2725618516641499,3.7917627777677763
tanh,0.0001,3,10,0.2732681292161096,3.5963162614470567
