activation,alpha,layers,neurons,val_mse_scaled,val_mse_unscaled
tanh,0.0001,7,40,0.24665704081609235,4.249274746982243
relu,0.0001,7,40,0.24794931396968398,3.882109598555288
relu,0.0001,3,40,0.24970701616678517,3.7798082446534815
tanh,0.0001,5,40,0.2501340565610453,3.4823457027801177
tanh,0.0001,4,40,0.2509919269390766,3.515438784786763
relu,0.0001,4,40,0.2513777441021296,3.8369326019390937
relu,0.0001,8,40,0.2546784693743232,4.045602278774156
relu,0.0001,5,40,0.2560459500524695,4.056597403424434
tanh,0.0001,10,40,0.25659886491195355,3.8336935206127594
tanh,0.0001,8,40,0.25782758910474873,3.7284657090482374
tanh,0.0001,11,40,0.25826317350197786,3.9741574076137565
relu,0.0001,2,40,0.25875747348336425,3.555729767542742
relu,0.0001,6,40,0.2610992956459434,3.9392047313446494
relu,0.0001,7,20,0.26136544123837957,4.346146347370334
tanh,0.0001,21,40,0.2613751182634646,3.865330042747378
relu,0.0001,4,20,0.2615978911792846,3.871063994362182
tanh,0.0001,6,40,0.2620365731945005,4.220429001984832
tanh,0.0001,8,20,0.26233886682335494,3.933161006184808
tanh,0.0001,2,20,0.26250300458467646,3.4234121864881866
relu,0.0001,11,40,0.2630617158351035,4.738536958325615
relu,0.0001,3,20,0.26327174217695076,3.8627357563897777
tanh,0.0001,12,40,0.2635092390274317,4.430611562154582
tanh,0.0001,3,20,0.26409763310912365,3.525917380785329
tanh,0.0001,2,40,0.26474549385764273,3.35474366429088
tanh,0.0001,4,20,0.2652700475630523,3.7678644309942606
tanh,0.0001,14,20,0.26547372260995605,4.24469049936402
relu,0.0001,9,20,0.2665313342706955,4.369770520674618
relu,0.0001,8,20,0.2684009270103867,5.323668291548775
relu,0.0001,12,40,0.2688531372192225,4.351445430559807
tanh,0.0001,9,40,0.27003491083724207,4.1800033124461615
tanh,0.0001,15,40,0.2702491836507234,4.125770876200772
relu,0.0001,13,40,0.27066791092511194,5.360019668572036
tanh,0.0001,12,20,0.2715073733630606,4.298177864540715
relu,0.0001,15,20,0.27255974422488244,4.716103387211638
relu,0.0001,2,20,0.2725618516641499,3.7917627777677763
tanh,0.0001,3,40,0.27475280674193187,3.824436496174741
relu,0.0001,10,20,0.2748973476088588,5.014575644822912
tanh,0.0001,7,20,0.27526192932628163,4.141303483568478
tanh,0.0001,5,20,0.27572935133762966,3.854119319201863
relu,0.0001,5,20,0.27794999113997815,4.851370031785661
tanh,0.0001,9,20,0.27925564229277383,4.407491344987261
tanh,0.0001,20,40,0.28142094360763326,4.4730710731664916
relu,0.0001,10,40,0.2828756501754706,5.235774620040969
tanh,0.0001,11,20,0.2846521319766111,4.513747042625045
tanh,0.0001,10,20,0.28548684742929903,4.009201984095487
tanh,0.0001,13,20,0.28579291111005095,4.433620874128476
logistic,0.0001,3,40,0.2869742998401325,3.626962754311058
tanh,0.0001,6,20,0.28700245917478145,4.197280283897807
tanh,0.0001,14,40,0.2871804341849167,4.480922249651864
tanh,0.0001,16,40,0.28745303844574305,5.256758706574968
tanh,0.0001,17,20,0.28799848418629476,4.148419634956385
relu,0.0001,12,20,0.29024947441634114,5.13283909114905
relu,0.0001,1,40,0.29307900532809616,4.1500569477222005
tanh,0.0001,19,20,0.29751760071730166,4.397093582919987
relu,0.0001,23,40,0.2984234575626372,4.4923962403542195
