Architecture,Layers,Parameters,MSE,MAE,RMSE,Mean R²
Diamond_4L_30_50_60_40,"[30, 50, 60, 40]",7487,2.688662871277899,1.094982011568099,1.63971426513216,0.7909307734989921
Diamond_3L_30_50_30,"[30, 50, 30]",3447,2.7072832222209122,1.0980920361558686,1.6453823939196968,0.7795603553142865
Diamond_2L_40_60,"[40, 60]",3087,2.712634698978605,1.076262942725675,1.6470078017358039,0.7789528515213228
Diamond_3L_20_40_30,"[20, 40, 30]",2387,2.747082129756483,1.1000751399378605,1.6574323907045148,0.7828565708930719
Diamond_3L_40_60_40,"[40, 60, 40]",5387,2.7489582189997757,1.0959722538562753,1.6579982566335152,0.7835398731262717
Diamond_3L_40_50_30,"[40, 50, 30]",3997,2.7784983578527522,1.0953686451453177,1.6668828266716147,0.780501157018526
Diamond_4L_40_50_60_50,"[40, 50, 60, 50]",8717,2.83280439906776,1.109803032461114,1.683093698837875,0.7820190177439228
Diamond_4L_30_40_50_40,"[30, 40, 50, 40]",5767,2.8710971530313785,1.1248586849478084,1.6944312181470744,0.781467181813609
Diamond_4L_20_40_50_30,"[20, 40, 50, 30]",4737,2.881348276776305,1.135082018124381,1.6974534682212368,0.7800843438766387
Diamond_4L_40_60_60_40,"[40, 60, 60, 40]",9047,2.8850542015200022,1.1087286049203258,1.6985447305031451,0.7818658922719797
Diamond_3L_30_60_30,"[30, 60, 30]",4057,2.9014123044235736,1.14230134192806,1.703353252975898,0.7742154796618778
Diamond_4L_20_40_40_20,"[20, 40, 40, 20]",3547,2.929843201774198,1.1448537686926101,1.7116784749987943,0.7762396556055624
Diamond_3L_30_50_40,"[30, 50, 40]",4027,2.9406509740883293,1.1554653794311984,1.7148326373405451,0.776007212548607
Diamond_3L_20_50_20,"[20, 50, 20]",2317,2.9457184975359816,1.1378065164443576,1.7163095576078289,0.7727173728738335
Diamond_2L_30_50,"[30, 50]",2057,2.979861056959183,1.1417782300575994,1.7262274059228648,0.764579454835857
Diamond_2L_20_40,"[20, 40]",1227,2.9914056475818827,1.1342348346548463,1.7295680523130283,0.7568039175786474
Diamond_4L_30_50_50_30,"[30, 50, 50, 30]",5997,3.0130747474404385,1.1639706639211405,1.7358210585888276,0.7827655297701794
Diamond_3L_20_40_20,"[20, 40, 20]",1907,3.028335457097434,1.1608185789314476,1.7402113254135068,0.7723746019760556
Diamond_4L_20_30_40_30,"[20, 30, 40, 30]",3417,3.0574604638874483,1.1716559958193453,1.7485595397033091,0.7642052814352922
