Architecture,Layers,Parameters,MSE,MAE,RMSE,Mean R²
Four_Layer_512_384_256_128,"[512, 384, 256, 128]",331911,2.724630507254088,1.0586733165374682,1.6506454820021432,0.7825268035470095
Four_Layer_512_256_192_96,"[512, 256, 192, 96]",202439,2.7824867804370546,1.098809158971245,1.6680787692543342,0.7912325359117849
Four_Layer_256_128_96_48,"[256, 128, 96, 48]",51559,2.791380846694975,1.0930757625096965,1.6707426033638382,0.7884321304075084
Five_Layer_512_256_192_128_96,"[512, 256, 192, 128, 96]",220999,2.8149302804721223,1.1230443497186164,1.6777753963126656,0.7930188237595192
Four_Layer_256_192_128_64,"[256, 192, 128, 64]",84039,2.825420749000607,1.118386530404399,1.6808987920159284,0.7885807400937728
Four_Layer_128_96_64_32,"[128, 96, 64, 32]",21543,2.8615417685279394,1.1253802146661838,1.6916092245338281,0.7894284477276444
Four_Layer_512_256_192_128,"[512, 256, 192, 128]",208839,2.885685001691936,1.1190303542926143,1.6987304087735453,0.7884389789271883
Five_Layer_512_384_256_128_64,"[512, 384, 256, 128, 64]",339719,2.8865364128594826,1.1507792499624494,1.6989809924950552,0.7914973594242417
Four_Layer_128_64_32_16,"[128, 64, 32, 16]",11623,2.922142992438421,1.1349441568767826,1.7094276797918129,0.7816975292944482
Five_Layer_256_128_96_64_32,"[256, 128, 96, 64, 32]",55079,2.929122761505185,1.155876936193423,1.711468013579332,0.7894771754421113
Five_Layer_512_256_128_64_32,"[512, 256, 128, 64, 32]",177351,2.9320204425993843,1.1442097238001654,1.712314352739994,0.7923044600706446
Four_Layer_256_128_96_64,"[256, 128, 96, 64]",53223,2.9334452721218263,1.129481443985479,1.712730355929335,0.7827416519326754
Five_Layer_256_192_128_96_64,"[256, 192, 128, 96, 64]",94375,2.93462168207821,1.1224686486103286,1.7130737526674704,0.787692814331641
Five_Layer_128_96_64_48_32,"[128, 96, 64, 48, 32]",24151,2.9386420812207708,1.1455668131708794,1.7142467970571713,0.7937823031496694
Four_Layer_256_128_64_32,"[256, 128, 64, 32]",44743,2.9500100688515816,1.1657323401193593,1.7175593348852847,0.7884841030541686
Four_Layer_128_64_48_32,"[128, 64, 48, 32]",13815,2.983271852003399,1.1536323915205862,1.7272150566745876,0.7819689236842968
Five_Layer_256_128_64_32_16,"[256, 128, 64, 32, 16]",45159,2.997189106237214,1.1711594365048672,1.7312391822729791,0.7862942204501565
Five_Layer_512_256_192_128_64,"[512, 256, 192, 128, 64]",216647,3.041132348074733,1.1956344508023133,1.7438842702641517,0.7908324223444153
Five_Layer_256_192_128_64_32,"[256, 192, 128, 64, 32]",85895,3.0557881548832966,1.1652134174888242,1.7480812781113173,0.7836074423151539
Four_Layer_512_256_128_64,"[512, 256, 128, 64]",175495,3.173491252780468,1.2043162710106337,1.7814295531343551,0.7840485405366755
Five_Layer_1024_512_256_128_64,"[1024, 512, 256, 128, 64]",702855,3.176813605726008,1.220093489874739,1.7823618055058317,0.7856552042467954
Five_Layer_128_64_32_16_8,"[128, 64, 32, 16, 8]",11703,3.1903986561312605,1.187418672346567,1.786168708753812,0.7704159498181162
Five_Layer_128_64_48_32_16,"[128, 64, 48, 32, 16]",14231,3.19557572787554,1.1843812545987205,1.7876173326177893,0.7719625100049117
Four_Layer_1024_512_256_128,"[1024, 512, 256, 128]",695047,3.2274795956926883,1.226587893569367,1.7965187434849346,0.7799584456061127
Four_Layer_64_32_16_8,"[64, 32, 16, 8]",3127,3.4757498376753304,1.2688804942424639,1.8643362995112578,0.7689394081273419
Five_Layer_256_128_96_64_48,"[256, 128, 96, 64, 48]",56231,3.700205618901746,1.3331399647838518,1.9235918535130434,0.7726185184854393
